movieId,imdbId,title,genres
1,0114709,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,0113497,Jumanji (1995),Adventure|Children|Fantasy
3,0113228,Grumpier Old Men (1995),Comedy|Romance
4,0114885,Waiting to Exhale (1995),Comedy|Drama|Romance
5,0113041,Father of the Bride Part II (1995),Comedy
6,0113277,Heat (1995),Action|Crime|Thriller
7,0114319,Sabrina (1995),Comedy|Romance
8,0112302,Tom and Huck (1995),Adventure|Children
9,0114576,Sudden Death (1995),Action
10,0113189,GoldenEye (1995),Action|Adventure|Thriller
11,0112346,"American President, The (1995)",Comedy|Drama|Romance
12,0112896,Dracula: Dead and Loving It (1995),Comedy|Horror
13,0112453,Balto (1995),Adventure|Animation|Children
14,0113987,Nixon (1995),Drama
15,0112760,Cutthroat Island (1995),Action|Adventure|Romance
16,0112641,Casino (1995),Crime|Drama
17,0114388,Sense and Sensibility (1995),Drama|Romance
18,0113101,Four Rooms (1995),Comedy
19,0112281,Ace Ventura: When Nature Calls (1995),Comedy
20,0113845,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,0113161,Get Shorty (1995),Comedy|Crime|Thriller
22,0112722,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,0112401,Assassins (1995),Action|Crime|Thriller
24,0114168,Powder (1995),Drama|Sci-Fi
25,0113627,Leaving Las Vegas (1995),Drama|Romance
26,0114057,Othello (1995),Drama
27,0114011,Now and Then (1995),Children|Drama
28,0114117,Persuasion (1995),Drama|Romance
29,0112682,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,0115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,0112792,Dangerous Minds (1995),Drama
32,0114746,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,0112431,Babe (1995),Children|Drama
36,0112818,Dead Man Walking (1995),Crime|Drama
38,0113442,It Takes Two (1995),Children|Comedy
39,0112697,Clueless (1995),Comedy|Romance
40,0112749,"Cry, the Beloved Country (1995)",Drama
41,0114279,Richard III (1995),Drama|War
42,0112819,Dead Presidents (1995),Action|Crime|Drama
43,0114272,Restoration (1995),Drama
44,0113855,Mortal Kombat (1995),Action|Adventure|Fantasy
45,0114681,To Die For (1995),Comedy|Drama|Thriller
46,0113347,How to Make an American Quilt (1995),Drama|Romance
47,0114369,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,0114148,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,0114916,When Night Is Falling (1995),Drama|Romance
50,0114814,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
52,0113819,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,0110299,Lamerica (1994),Adventure|Drama
54,0112499,"Big Green, The (1995)",Children|Comedy
55,0113158,Georgia (1995),Drama
57,0113321,Home for the Holidays (1995),Drama
58,0110877,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
60,0113419,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,0116260,Eye for an Eye (1996),Drama|Thriller
62,0113862,Mr. Holland's Opus (1995),Drama
63,0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64,0118002,Two if by Sea (1996),Comedy|Romance
65,0115683,Bio-Dome (1996),Comedy
66,0116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
68,0113149,French Twist (Gazon maudit) (1995),Comedy|Romance
69,0113118,Friday (1995),Comedy
70,0116367,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,0113010,Fair Game (1995),Action
72,0113537,Kicking and Screaming (1995),Comedy|Drama
73,0113828,"Misérables, Les (1995)",Drama|War
74,0115644,Bed of Roses (1996),Drama|Romance
75,0115676,Big Bully (1996),Comedy|Drama
76,0114367,Screamers (1995),Action|Sci-Fi|Thriller
77,0113973,Nico Icon (1995),Documentary
78,0112744,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
79,0116731,"Juror, The (1996)",Drama|Thriller
80,0112445,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
81,0114660,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
82,0112379,Antonia's Line (Antonia) (1995),Comedy|Drama
83,0114039,Once Upon a Time... When We Were Colored (1995),Drama|Romance
85,0112365,Angels and Insects (1995),Drama|Romance
86,0118158,White Squall (1996),Action|Adventure|Drama
87,0116151,Dunston Checks In (1996),Children|Comedy
88,0115697,Black Sheep (1996),Comedy
89,0113972,Nick of Time (1995),Action|Thriller
92,0117002,Mary Reilly (1996),Drama|Horror|Thriller
93,0114825,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,0115639,Beautiful Girls (1996),Comedy|Drama|Romance
95,0115759,Broken Arrow (1996),Action|Adventure|Thriller
96,0113403,In the Bleak Midwinter (1995),Comedy|Drama
97,0113247,"Hate (Haine, La) (1995)",Crime|Drama
99,0113283,Heidi Fleiss: Hollywood Madam (1995),Documentary
100,0115907,City Hall (1996),Drama|Thriller
